,User_ID,Product_ID,Gender,Age,Occupation,City_Category,Stay_In_Current_City_Years,Marital_Status,Product_Category_1,Product_Category_2,Product_Category_3,Purchase
0,1001088,P00046042,F,0-17,10,A,3,0,5,17.0,,2010
1,1004493,P00347742,F,0-17,10,A,1,0,7,,,4483
2,1005302,P00048942,F,0-17,10,A,1,0,1,4.0,,7696
3,1001348,P00145242,F,0-17,10,A,3,0,2,4.0,,16429
4,1001348,P00106742,F,0-17,10,A,3,0,3,5.0,,5780
5,1005302,P00051642,F,0-17,10,A,1,0,8,,,9821
6,1001348,P00000242,F,0-17,10,A,3,0,2,4.0,9.0,12707
7,1001088,P00117942,F,0-17,10,A,3,0,5,15.0,,7108
8,1001088,P00200142,F,0-17,10,A,3,0,16,,,16521
9,1005302,P00319342,F,0-17,10,A,1,0,5,8.0,,1886
10,1001088,P00278242,F,0-17,10,A,3,0,1,,,18964
11,1001088,P00350942,F,0-17,10,A,3,0,3,4.0,5.0,11047
12,1000743,P00100642,F,0-17,2,A,2,0,5,15.0,,6882
13,1005524,P00195542,F,0-17,10,B,1,0,2,12.0,,9548
14,1004086,P00001342,F,0-17,10,B,2,0,3,4.0,,8236
15,1001926,P00086342,F,0-17,0,B,1,0,8,,,9902
16,1005420,P00276642,F,0-17,19,B,4+,0,8,11.0,,2021
17,1005420,P00183942,F,0-17,19,B,4+,0,3,4.0,,11013
18,1001926,P00318642,F,0-17,0,B,1,0,2,5.0,15.0,16220
19,1005420,P00016442,F,0-17,19,B,4+,0,2,4.0,8.0,3428
20,1002810,P00163242,F,0-17,10,B,2,0,1,8.0,14.0,15297
21,1000468,P00002742,F,0-17,10,B,1,0,8,,,6050
22,1003087,P00020342,F,0-17,1,B,0,0,1,2.0,,12040
23,1003087,P00230442,F,0-17,1,B,0,0,14,,,15206
24,1002810,P00137442,F,0-17,10,B,2,0,8,12.0,,7794
25,1001926,P00087042,F,0-17,0,B,1,0,10,14.0,16.0,23866
26,1004606,P00370293,F,0-17,10,B,2,0,19,,,37
27,1004690,P00069242,F,0-17,10,C,3,0,8,11.0,,9898
28,1005768,P00188742,F,0-17,7,C,3,0,8,14.0,17.0,9820
29,1005459,P00065242,F,0-17,10,C,0,0,2,3.0,4.0,9877
30,1000888,P00034742,F,0-17,10,C,1,0,5,14.0,17.0,7179
31,1005840,P00251242,F,0-17,0,C,1,0,5,11.0,,7025
32,1005756,P00111842,F,0-17,10,C,1,0,8,,,9827
33,1001365,P00343042,F,0-17,10,C,3,0,5,18.0,,3715
34,1005756,P00085942,F,0-17,10,C,1,0,2,4.0,8.0,16129
35,1000629,P00185342,F,0-17,10,C,2,0,3,4.0,,13572
36,1005114,P00171642,F,0-17,10,C,2,0,5,8.0,14.0,7055
37,1000075,P00238542,F,0-17,10,C,4+,0,5,14.0,,8889
38,1002202,P00238542,F,0-17,10,C,2,0,5,14.0,,7186
39,1004572,P00025542,F,0-17,10,C,0,0,8,,,7777
40,1004575,P00124842,F,0-17,10,C,2,0,11,,,1694
41,1005768,P00273442,F,0-17,7,C,3,0,12,14.0,17.0,1747
42,1000086,P00157542,F,0-17,10,C,3,0,8,14.0,,9898
43,1002155,P00243242,F,0-17,10,C,1,0,11,14.0,,6156
44,1000051,P00174442,F,0-17,10,C,2,0,5,,,7146
45,1000634,P00174042,F,0-17,10,C,4+,0,4,5.0,,2175
46,1000019,P00145442,M,0-17,10,A,3,0,8,15.0,,6068
47,1001220,P00221842,M,0-17,10,A,3,0,1,8.0,,15210
48,1004478,P00108942,M,0-17,12,A,1,0,8,,,7799
49,1004478,P00173542,M,0-17,12,A,1,0,5,8.0,,5325
50,1000737,P00052842,M,0-17,19,A,2,0,10,15.0,,14443
51,1000019,P00035942,M,0-17,10,A,3,0,1,5.0,18.0,8129
52,1004997,P00302042,M,0-17,10,A,1,0,5,,,7183
53,1000019,P00113142,M,0-17,10,A,3,0,1,5.0,12.0,19306
54,1001220,P00186242,M,0-17,10,A,3,0,4,5.0,,2059
55,1005255,P00111442,M,0-17,10,A,3,0,8,,,9910
56,1001509,P00249542,M,0-17,0,B,3,0,1,5.0,15.0,15456
57,1001928,P00058042,M,0-17,10,B,1,0,8,16.0,,9847
58,1001372,P00289842,M,0-17,10,B,1,0,1,16.0,,7586
59,1005118,P00044242,M,0-17,10,B,2,0,2,4.0,8.0,6963
60,1004633,P00216342,M,0-17,0,B,1,0,3,4.0,5.0,13711
61,1005118,P00003242,M,0-17,10,B,2,0,8,15.0,,2130
62,1005074,P00223642,M,0-17,0,B,2,0,11,15.0,,4645
63,1005118,P00036842,M,0-17,10,B,2,0,1,14.0,16.0,12045
64,1001327,P00111542,M,0-17,10,B,0,0,2,17.0,,9567
65,1001425,P00351342,M,0-17,10,B,1,0,1,2.0,16.0,7898
66,1001263,P00249042,M,0-17,10,B,4+,0,7,,,4179
67,1001263,P00255542,M,0-17,10,B,4+,0,5,,,8617
68,1001182,P00082842,M,0-17,10,B,3,0,1,,,4038
69,1002288,P00001142,M,0-17,10,B,2,0,5,8.0,14.0,1882
70,1001241,P00258742,M,0-17,10,B,1,0,5,,,8647
71,1001241,P00036842,M,0-17,10,B,1,0,1,14.0,16.0,15173
72,1005953,P00158342,M,0-17,10,B,0,0,8,,,7972
73,1002168,P00271742,M,0-17,10,B,4+,0,1,5.0,,15572
74,1005555,P00035942,M,0-17,10,B,2,0,1,5.0,18.0,11504
75,1001425,P00350142,M,0-17,10,B,1,0,8,17.0,,9902
76,1001425,P00212842,M,0-17,10,B,1,0,8,16.0,,7980
77,1004541,P00145042,M,0-17,10,B,1,0,1,2.0,5.0,18974
78,1001509,P00035842,M,0-17,0,B,3,0,5,6.0,9.0,7099
79,1004633,P00092442,M,0-17,0,B,1,0,2,4.0,,16453
80,1005074,P00118742,M,0-17,0,B,2,0,5,11.0,,5180
81,1001372,P00251542,M,0-17,10,B,1,0,11,16.0,,1637
82,1001509,P00214242,M,0-17,0,B,3,0,1,16.0,,4021
83,1002288,P00213742,M,0-17,10,B,2,0,8,,,7787
84,1005558,P00000242,M,0-17,10,B,2,0,2,4.0,9.0,6682
85,1001372,P00145042,M,0-17,10,B,1,0,1,2.0,5.0,12050
86,1001509,P00305042,M,0-17,0,B,3,0,11,13.0,16.0,1532
87,1001263,P00255942,M,0-17,10,B,4+,0,1,16.0,,15567
88,1005558,P00294442,M,0-17,10,B,2,0,3,4.0,12.0,8192
89,1002288,P00103042,M,0-17,10,B,2,0,1,14.0,,4478
